CustomerID,TransactionDate,Amount,ProductCategory,Location,PaymentMethod
CUST0150,2023-09-12,1285.74,Toys,HOUSTON,paypal
CUST0267,2023-02-28,326.31,Electronics,los angeles,
CUST0129,2023-12-19,1496.98,Books,los angeles,CRD
CUST0033,2023-04-30,1092.35,Electronics,,CRD
CUST0043,2023-09-25,302.1,Beauty,Chicago,Debit
CUST0146,2022-05-10,253.87,Grocery,New York,Credit Card
CUST0441,2023-05-03,929.06,,Chicago,cash
CUST0497,2023-07-07,345.84,,,
CUST0289,2023-10-18,1275.45,Toys,Chicago,CRD
CUST0413,2022-11-12,,Toys,los angeles,paypal
CUST0268,2024-05-18,,Toys,HOUSTON,cash
CUST0473,2024-02-13,948.9,Electronics,,CRD
CUST0306,2022-01-08,1091.91,Books,HOUSTON,cash
CUST0128,2024-01-25,1288.44,Beauty,los angeles,paypal
CUST0321,2024-02-22,1597.92,Toys,Chicago,
CUST0415,2022-07-12,1705.5,Grocery,los angeles,paypal
CUST0234,2022-10-06,,,los angeles,paypal
CUST0026,2022-01-23,363.73,Clothing,Chicago,paypal
CUST0225,2022-08-27,171.3,Electronics,HOUSTON,Debit
CUST0160,2023-05-26,1995.91,,,Credit Card
CUST0432,2022-05-30,102.64,Beauty,New York,cash
CUST0099,2022-09-14,1632.67,Electronics,New York,
CUST0395,2022-09-11,1472.61,Electronics,los angeles,CRD
CUST0049,2022-08-02,940.38,Toys,Chicago,Debit
CUST0022,2023-07-17,1037.06,Toys,HOUSTON,
CUST0185,2023-11-14,427.75,Clothing,los angeles,
CUST0008,2022-10-10,,Beauty,,Debit
CUST0022,2023-12-09,945.29,Grocery,Chicago,Credit Card
CUST0256,2023-09-26,670.23,Electronics,New York,paypal
CUST0360,2022-04-20,242.91,Books,Chicago,cash
CUST0388,2023-03-26,1463.71,Electronics,,CRD
CUST0069,2022-02-10,965.46,,Phoenix,paypal
CUST0251,2022-07-11,1082.68,Home,,CRD
CUST0426,2023-07-22,312.29,,los angeles,CRD
CUST0135,2023-04-10,-8.55,,HOUSTON,
CUST0010,2023-01-08,1549.79,Books,Chicago,
CUST0496,2023-02-01,371.64,,,cash
CUST0145,2023-10-19,637.27,Clothing,Phoenix,
CUST0428,2022-07-02,1745.72,Books,New York,CRD
CUST0017,2024-05-06,771.08,,Phoenix,cash
cust0132,2024-01-06,132.46,Books,,CRD
CUST0427,2024-03-31,1274.22,Home,Phoenix,
CUST0213,2024-03-24,1413.95,Toys,Phoenix,Credit Card
CUST0428,2022-08-10,1920.78,Clothing,New York,
CUST0198,2023-06-23,1310.32,Grocery,Phoenix,
CUST0383,2023-10-16,1148.89,,,
CUST0054,2022-07-04,1095.43,,Chicago,
CUST0308,2022-12-27,1803.99,,Chicago,paypal
CUST0325,2024-01-14,640.14,Books,Phoenix,cash
CUST0393,2024-02-02,,,HOUSTON,CRD
CUST0018,2023-09-03,22.77,Grocery,Chicago,Credit Card
CUST0114,2022-11-19,33.62,Toys,Phoenix,cash
CUST0475,2022-04-07,65.85,Home,los angeles,Debit
CUST0456,2022-08-27,505.05,Toys,New York,cash
CUST0470,2022-03-21,1444.4,,los angeles,CRD
CUST0354,2024-04-19,1814.39,Toys,New York,
CUST0196,2022-02-27,1842.96,Home,Chicago,CRD
CUST0445,2024-02-28,445.7,Electronics,,
CUST0157,2022-11-23,1075.26,Grocery,Chicago,cash
CUST0079,2024-01-20,1994.71,,,cash
CUST0047,2022-10-24,1570.6,Grocery,los angeles,paypal
CUST0293,2023-07-16,792.37,Clothing,HOUSTON,cash
CUST0358,2022-05-19,956.65,Books,HOUSTON,CRD
CUST0101,2024-01-24,1043.74,Books,New York,paypal
CUST0166,2023-08-13,170.09,Beauty,HOUSTON,paypal
CUST0165,2023-11-03,38.66,Toys,los angeles,paypal
CUST0412,2022-05-30,875.33,Books,los angeles,
CUST0388,2022-03-29,215.87,Electronics,los angeles,cash
CUST0445,2022-10-22,17.6,Clothing,Chicago,CRD
CUST0170,2023-07-05,415.87,,Phoenix,paypal
CUST0319,2022-05-25,1387.09,Electronics,HOUSTON,cash
cust0270,2022-10-18,393.4,Toys,New York,CRD
CUST0005,2023-11-08,,Home,,Credit Card
CUST0445,2023-01-31,454.65,Beauty,Phoenix,
CUST0162,2023-09-04,1058.44,Grocery,los angeles,cash
CUST0288,2022-01-23,69.9,,Chicago,paypal
CUST0382,2022-12-22,1365.47,Home,,paypal
CUST0257,2022-03-05,1247.84,Beauty,,Credit Card
CUST0486,2022-06-05,676.99,Beauty,,Debit
CUST0196,2023-11-26,1221.02,Books,HOUSTON,Debit
CUST0219,2023-09-12,651.86,,los angeles,Debit
CUST0298,2024-03-30,396.64,Grocery,Chicago,
CUST0269,2023-03-17,1991.33,Grocery,,cash
CUST0163,2023-06-30,1896.69,Clothing,los angeles,paypal
CUST0075,2024-02-23,630.56,Beauty,HOUSTON,paypal
CUST0479,2023-10-15,1865.83,Toys,los angeles,Debit
CUST0095 ,2023-09-24,526.39,Books,Phoenix,Debit
CUST0014,2023-12-06,1557.45,Grocery,Phoenix,cash
CUST0333,2024-05-22,768.8,,los angeles,Debit
CUST0017,2022-01-16,1850.12,Beauty,los angeles,
CUST0104,2022-03-09,345.93,,,cash
CUST0167,2022-09-10,849.39,Electronics,Phoenix,
CUST0369,2023-09-19,1877.67,,Phoenix,
cust0403,2023-04-13,1652.29,Electronics,los angeles,cash
cust0377,2024-02-23,1257.6,Electronics,los angeles,paypal
CUST0453,2024-04-27,564.69,Grocery,HOUSTON,paypal
CUST0028,2022-05-26,921.79,,New York,
CUST0093,2023-12-14,1088.28,Beauty,HOUSTON,paypal
CUST0092,2023-12-31,1790.55,,New York,paypal
CUST0333,2024-03-26,319.63,Clothing,New York,Credit Card
CUST0325,2023-06-21,1411.63,,Phoenix,Debit
cust0195,2022-12-10,1126.64,Grocery,los angeles,Debit
CUST0365,2022-11-12,612.13,,Chicago,
CUST0461,2022-07-27,-2.9,Toys,New York,CRD
CUST0256,2022-01-06,1212.05,,los angeles,Debit
CUST0244,2023-03-29,149.6,Electronics,los angeles,cash
CUST0322,2024-04-25,407.35,Grocery,los angeles,Credit Card
CUST0019,2022-02-03,1330.66,Toys,Chicago,Credit Card
CUST0214,2022-06-15,1340.9,,los angeles,CRD
CUST0185,2022-04-06,1534.71,Home,Chicago,CRD
CUST0389,2023-07-18,120.5,,los angeles,Credit Card
CUST0141,2023-02-28,1044.54,Books,Phoenix,Credit Card
CUST0374,2023-06-26,1974.25,,,
CUST0404,2022-10-22,848.38,Home,Chicago,cash
CUST0320,2022-05-13,1224.72,,Phoenix,
CUST0253,2023-09-17,457.77,Toys,los angeles,Credit Card
CUST0239,2022-05-01,1472.31,Books,,cash
cust0212,2024-04-05,1271.38,Electronics,,Debit
CUST0131,2022-11-12,593.57,,Chicago,Credit Card
CUST0171,2024-01-12,1133.53,Electronics,,Debit
CUST0427,2023-11-20,953.01,,,Credit Card
CUST0247,2023-04-17,1783.04,,Chicago,CRD
CUST0212,2022-02-27,1668.56,Toys,Phoenix,
CUST0285,2022-08-02,1150.57,Home,,paypal
CUST0077,2022-02-01,671.7,Beauty,,cash
CUST0293,2022-07-11,1186.34,Toys,,paypal
CUST0140,2023-05-24,1752.87,Home,HOUSTON,paypal
CUST0155,2023-01-19,1567.74,Books,New York,CRD
CUST0410,2023-05-28,299.7,Home,HOUSTON,
CUST0159,2022-05-27,1536.66,Clothing,,cash
CUST0068,2022-02-07,913.33,,New York,Credit Card
CUST0023,2023-09-01,1742.47,Home,HOUSTON,Credit Card
CUST0393,2022-11-16,35.19,Toys,,Debit
CUST0099,2023-06-30,631.49,,,Credit Card
CUST0081,2022-01-16,1916.18,,Phoenix,Credit Card
CUST0180,2022-10-05,274.53,Toys,Phoenix,Debit
CUST0160,2022-12-13,1076.56,Electronics,los angeles,Credit Card
CUST0346,2023-01-28,98.14,Beauty,HOUSTON,Debit
CUST0457,2024-05-06,1377.15,,Phoenix,paypal
CUST0419,2024-02-16,1338.45,,New York,CRD
CUST0048,2023-12-17,931.23,,Chicago,
CUST0393,2022-08-26,1894.37,Grocery,,cash
CUST0187,2023-12-18,1833.7,Home,,paypal
CUST0016,2022-04-26,696.4,,,Debit
CUST0179,2022-05-11,1010.98,Beauty,,
CUST0167,2022-03-14,1582.79,,HOUSTON,CRD
CUST0123,2023-07-16,309.63,,HOUSTON,Credit Card
CUST0417,2023-03-18,1566.47,Beauty,Phoenix,paypal
CUST0121,2023-11-17,146.57,,New York,cash
CUST0167,2024-04-21,884.88,Toys,HOUSTON,Credit Card
CUST0351,2024-02-29,1637.93,Home,HOUSTON,
CUST0047,2022-05-23,1773.4,Electronics,,Debit
CUST0232,2023-02-04,1227.3,,los angeles,Debit
CUST0163,2024-03-24,1825.54,Toys,HOUSTON,
CUST0177,2023-08-20,6.32,,HOUSTON,Debit
CUST0032,2023-07-17,1935.48,Electronics,,cash
CUST0184,2022-10-16,1730.02,Books,HOUSTON,
CUST0321,2023-01-27,806.13,Beauty,Phoenix,Debit
CUST0244,2023-07-23,763.04,Home,,CRD
CUST0447,2022-05-18,13.32,Electronics,los angeles,
CUST0337,2022-05-20,160.17,Beauty,,CRD
CUST0357,2023-03-12,1242.73,,Phoenix,CRD
CUST0231,2022-08-20,363.44,Electronics,Phoenix,CRD
CUST0122,2022-10-03,815.78,,Phoenix,paypal
CUST0020,2023-12-23,730.84,,,Credit Card
CUST0375,2024-05-29,1967.17,Toys,HOUSTON,cash
CUST0456,2022-09-09,939.63,Clothing,,
CUST0297,2022-02-24,1806.21,,,Credit Card
CUST0263,2023-08-11,1464.97,Beauty,Chicago,paypal
CUST0019,2023-09-04,1496.34,Toys,New York,
CUST0087,2023-11-04,1980.63,Electronics,Chicago,CRD
CUST0259,2024-03-13,548.48,Grocery,Phoenix,paypal
cust0132,2022-06-28,1819.36,Grocery,,CRD
CUST0090,2023-12-19,464.75,Grocery,,cash
CUST0176,2022-05-29,1187.04,Grocery,,CRD
CUST0212,2022-09-01,1317.94,Grocery,los angeles,cash
CUST0177,2022-09-28,1508.52,Clothing,New York,Debit
CUST0244,2024-02-04,1895.99,,los angeles,CRD
CUST0200,2022-05-29,1056.19,Beauty,New York,paypal
CUST0230,2022-11-20,1923.14,Electronics,New York,cash
CUST0490,2023-09-18,1835.26,Toys,Chicago,paypal
CUST0051,2023-08-22,776.22,Books,,
CUST0100,2023-11-25,,Grocery,Chicago,cash
CUST0005,2022-01-13,816.61,,New York,
CUST0113,2022-09-15,378.09,Electronics,Phoenix,Credit Card
CUST0305,2024-05-05,425.82,Clothing,,Credit Card
CUST0310,2023-11-04,1525.35,Grocery,New York,
CUST0151,2022-03-19,1273.95,Toys,,CRD
CUST0342,2022-11-28,507.25,Clothing,Chicago,Credit Card
CUST0171,2022-09-22,1910.77,Toys,los angeles,CRD
CUST0476,2023-02-07,348.67,,New York,Debit
CUST0221,2023-10-21,203.56,,,paypal
CUST0038,2024-01-16,493.7,,New York,CRD
cust0328,2023-02-04,,Home,HOUSTON,cash
CUST0363,2023-05-18,951.06,Beauty,,
CUST0403,2022-08-20,-3.35,,New York,cash
CUST0184,2022-11-07,795.24,Clothing,Chicago,cash
CUST0175,2023-04-16,1518.51,Toys,,Debit
CUST0021,2023-11-08,373.92,Beauty,New York,
CUST0250,2023-10-10,870.35,Books,los angeles,Credit Card
CUST0369,2022-09-02,973.36,Clothing,,cash
CUST0256,2024-05-04,1621.67,Electronics,New York,paypal
CUST0404,2023-02-20,227.56,,HOUSTON,
CUST0275,2023-08-17,458.3,Clothing,New York,
CUST0335 ,2023-09-26,82.06,Grocery,New York,Debit
CUST0464,2024-03-23,185.56,Grocery,,cash
CUST0419,2023-05-25,1185.9,Books,New York,Debit
CUST0416,2024-01-26,1353.58,Home,New York,
CUST0071,2024-03-23,418.6,Electronics,Phoenix,Debit
CUST0062,2024-02-15,824.46,Home,Phoenix,Debit
CUST0474,2022-05-17,,Beauty,,Debit
CUST0250,2022-01-08,350.62,Clothing,,
CUST0146,2024-04-06,1582.4,,,Debit
CUST0328,2023-04-07,818.18,Grocery,Phoenix,
CUST0093,2023-09-19,,Toys,Chicago,CRD
CUST0121,2023-06-27,1953.35,Home,,cash
CUST0238,2023-11-07,408.3,Electronics,los angeles,Credit Card
CUST0351,2023-05-01,990.0,Grocery,,Credit Card
CUST0187,2023-03-22,495.28,,New York,Credit Card
CUST0474,2022-06-11,1568.84,,Phoenix,Credit Card
CUST0121,2023-08-30,1155.32,Beauty,los angeles,
CUST0167,2022-04-23,645.53,Clothing,los angeles,
CUST0103,2022-08-14,137.79,,New York,CRD
CUST0476,2022-07-02,768.53,Grocery,HOUSTON,
CUST0184,2022-07-27,665.14,Electronics,,cash
CUST0070,2023-04-22,911.74,Grocery,,paypal
CUST0152,2024-03-19,1587.08,Grocery,Phoenix,cash
CUST0045,2023-06-19,973.32,Books,Phoenix,CRD
cust0143,2022-09-10,488.14,Beauty,Phoenix,Debit
CUST0303,2023-08-11,1795.49,Beauty,New York,Credit Card
CUST0376,2022-02-04,845.65,Beauty,HOUSTON,
CUST0232,2022-03-27,1112.56,Electronics,,
CUST0112,2022-10-30,470.52,Clothing,New York,CRD
CUST0083,2024-05-28,1136.47,Electronics,HOUSTON,CRD
CUST0448,2022-07-09,1577.62,Home,,CRD
CUST0001,2022-03-14,763.61,Home,Phoenix,Credit Card
CUST0386,2023-09-20,1080.29,Books,,
CUST0451,2022-02-26,1024.62,Home,New York,Credit Card
CUST0239,2023-01-10,726.53,,,Credit Card
CUST0397,2022-12-09,469.65,Clothing,,CRD
CUST0386,2023-12-21,411.69,Books,Chicago,paypal
CUST0258,2022-10-11,99.46,Home,Chicago,CRD
CUST0270,2023-04-27,1416.75,,Chicago,CRD
CUST0410,2023-12-11,1615.68,Clothing,los angeles,CRD
CUST0201,2022-10-23,1916.1,Clothing,New York,Debit
CUST0357,2022-06-04,1748.74,,,Credit Card
CUST0497,2022-05-16,942.55,Beauty,HOUSTON,
CUST0150,2022-01-23,1742.31,Books,,cash
CUST0211,2023-11-03,1288.56,Home,HOUSTON,cash
CUST0272,2023-04-01,910.59,Grocery,,paypal
CUST0134,2023-01-16,1941.16,Electronics,los angeles,paypal
CUST0490,2022-06-14,1420.74,Toys,los angeles,Debit
CUST0355,2024-03-24,298.5,Books,New York,Credit Card
CUST0295,2022-09-24,733.04,Books,Phoenix,
CUST0163,2022-06-01,739.56,,los angeles,cash
CUST0472 ,2024-02-26,,,Chicago,Debit
CUST0379,2023-06-04,655.87,Toys,HOUSTON,paypal
CUST0387,2023-08-11,1330.44,,Chicago,
CUST0246,2022-05-23,1352.8,Clothing,Chicago,Credit Card
CUST0431,2023-01-01,175.89,Electronics,Phoenix,
CUST0270,2024-02-25,548.63,Electronics,New York,cash
CUST0347,2022-03-31,1951.44,Beauty,los angeles,CRD
CUST0310,2022-02-27,1815.98,Home,HOUSTON,Debit
CUST0219,2023-01-17,14.5,Home,Chicago,paypal
CUST0448,2022-08-09,1452.99,,,CRD
CUST0148,2024-01-16,1940.42,Beauty,,CRD
CUST0301,2022-05-28,407.65,,,cash
CUST0034,2023-08-28,1509.79,Clothing,New York,CRD
CUST0140,2023-07-24,918.86,Grocery,los angeles,Debit
CUST0149,2022-02-13,1643.83,Toys,,cash
CUST0287,2022-08-18,43.95,Electronics,los angeles,paypal
CUST0328,2023-04-29,239.6,Toys,HOUSTON,Debit
CUST0353,2022-01-30,229.9,Toys,HOUSTON,Credit Card
CUST0186,2023-08-03,866.5,Toys,,
CUST0356,2023-01-18,1020.18,Electronics,,paypal
CUST0030,2023-04-18,1755.42,Grocery,Chicago,Debit
CUST0185,2022-12-31,87.92,Toys,Phoenix,
CUST0264,2023-10-06,358.33,Clothing,Phoenix,Debit
CUST0447,2024-05-15,1366.78,Toys,Chicago,
CUST0186,2023-08-17,696.78,Grocery,New York,Debit
CUST0191,2023-02-26,674.03,Grocery,New York,Debit
CUST0114,2024-03-25,1793.08,,,cash
CUST0360,2022-04-27,828.87,Clothing,New York,Debit
CUST0246,2023-12-09,718.76,,Phoenix,cash
CUST0176,2022-11-08,47.81,Clothing,los angeles,Debit
CUST0073,2022-11-11,241.94,Grocery,New York,CRD
CUST0402,2022-01-20,1547.13,Beauty,New York,Debit
CUST0407,2023-08-31,109.12,Clothing,Chicago,Credit Card
cust0342,2022-05-07,1839.4,Books,Phoenix,Debit
cust0180,2024-02-04,1883.11,Home,Chicago,Debit
CUST0400,2022-09-05,1004.87,Clothing,New York,cash
CUST0271,2022-07-16,,Grocery,,cash
CUST0372,2022-08-08,1840.16,,Chicago,
CUST0226,2022-04-20,353.51,Home,HOUSTON,CRD
CUST0117,2024-02-19,1969.07,Clothing,HOUSTON,Credit Card
CUST0254,2023-12-23,569.43,Electronics,New York,paypal
CUST0198,2023-09-07,1469.71,,los angeles,cash
CUST0438,2024-05-27,129.91,,,paypal
CUST0346,2022-04-18,786.7,,,
CUST0074,2023-12-13,1177.02,Clothing,,Debit
CUST0500,2022-07-25,1185.87,Beauty,New York,Debit
CUST0372,2024-02-23,1424.12,Toys,,
CUST0183,2023-09-10,1899.78,,Phoenix,paypal
CUST0233,2022-09-14,973.58,Books,,Debit
CUST0378,2022-03-11,991.25,Electronics,los angeles,CRD
CUST0168,2023-09-29,1242.7,Clothing,,cash
CUST0406,2022-10-28,1320.81,,Phoenix,paypal
CUST0415,2023-07-14,25.52,Electronics,HOUSTON,Credit Card
CUST0162,2023-03-30,913.91,Electronics,los angeles,cash
CUST0400,2023-12-25,319.93,Beauty,los angeles,paypal
CUST0250,2023-08-06,1346.8,,,cash
CUST0244,2022-06-10,1008.44,Beauty,Chicago,CRD
CUST0194,2022-12-28,1530.61,Toys,Chicago,Credit Card
CUST0024,2023-01-11,691.24,Electronics,,
CUST0050,2023-01-01,817.98,Electronics,,Debit
CUST0332,2022-03-28,1819.88,Clothing,,paypal
cust0087,2023-04-17,1312.11,Beauty,Phoenix,cash
cust0137,2022-01-23,1971.39,Beauty,Phoenix,CRD
CUST0051,2022-04-13,1378.64,Books,Chicago,CRD
CUST0392,2022-06-20,1225.8,Home,HOUSTON,Debit
CUST0434,2022-03-19,1679.16,,los angeles,paypal
CUST0153,2023-02-16,1607.25,Clothing,,cash
CUST0173,2023-08-04,1600.38,,HOUSTON,Debit
CUST0040,2022-11-06,1004.33,Toys,HOUSTON,
CUST0103,2022-09-15,1246.18,,,cash
CUST0010,2023-06-13,1724.05,,los angeles,
CUST0381,2022-10-02,1873.7,,,cash
CUST0465,2023-08-03,1450.5,Electronics,Phoenix,Debit
CUST0076,2024-02-04,1367.47,Toys,,CRD
CUST0441,2022-03-07,1264.19,Beauty,Chicago,paypal
CUST0132,2022-08-30,805.79,Clothing,los angeles,Debit
CUST0409,2023-04-21,965.62,Beauty,HOUSTON,
CUST0104,2022-05-20,48.58,Toys,,cash
CUST0437 ,2024-03-12,30.02,Clothing,Chicago,cash
CUST0033,2023-02-21,1792.51,Clothing,HOUSTON,
CUST0121,2024-01-23,995.5,Clothing,Phoenix,
CUST0487,2023-06-22,496.13,Clothing,los angeles,cash
CUST0414,2024-05-02,1164.5,Beauty,,
CUST0479,2022-05-28,204.7,Books,Chicago,CRD
CUST0442,2023-05-18,1062.27,Clothing,Chicago,cash
CUST0350,2022-10-12,1757.66,Grocery,Chicago,CRD
CUST0421,2023-10-23,1933.28,Electronics,,
CUST0482,2024-03-18,1339.91,Toys,Phoenix,CRD
CUST0491,2024-04-11,1367.35,,,Debit
CUST0199 ,2022-09-19,594.79,Books,Chicago,Debit
CUST0083,2023-10-09,627.54,Beauty,,Credit Card
CUST0042,2023-05-19,936.89,Beauty,,paypal
CUST0449,2022-04-13,1647.05,Toys,Phoenix,Credit Card
CUST0309,2023-07-15,1472.95,,,Credit Card
CUST0329,2023-10-08,881.24,Grocery,New York,CRD
CUST0157,2022-03-26,212.76,Books,Phoenix,
CUST0426,2022-05-14,1692.39,Beauty,,paypal
CUST0448,2022-09-24,338.69,Home,,paypal
CUST0213,2023-02-07,1751.54,Books,New York,Credit Card
CUST0332,2022-08-23,1812.76,,los angeles,paypal
CUST0087 ,2023-09-07,512.92,Clothing,Chicago,Debit
CUST0061 ,2024-03-02,1839.18,,,
CUST0115,2022-07-15,1891.57,Toys,Chicago,
CUST0067,2022-07-31,1196.17,Toys,,
CUST0093,2022-05-30,47.83,Toys,los angeles,cash
CUST0128,2023-12-02,1290.94,Clothing,New York,CRD
CUST0166,2023-02-12,1370.57,Beauty,,CRD
CUST0132,2023-07-25,108.09,Home,los angeles,CRD
CUST0311,2024-04-01,1192.45,Electronics,New York,paypal
CUST0196,2023-02-09,1339.24,Grocery,Phoenix,Credit Card
CUST0134,2023-05-20,1859.96,,los angeles,Credit Card
CUST0272,2022-09-24,224.85,Electronics,los angeles,CRD
CUST0428,2023-01-05,1851.74,Toys,Chicago,cash
CUST0475,2022-11-17,865.91,Grocery,Chicago,
CUST0392,2023-07-24,1704.6,,New York,Debit
CUST0118,2023-04-27,513.05,,HOUSTON,Credit Card
CUST0475,2023-03-29,706.61,,HOUSTON,CRD
CUST0434,2022-06-01,238.55,Clothing,los angeles,paypal
CUST0087,2024-04-22,538.31,Books,Phoenix,Credit Card
CUST0293,2022-03-20,484.78,,,Credit Card
CUST0014,2023-11-28,235.2,Home,Phoenix,Credit Card
cust0079,2023-12-26,1315.67,,,paypal
CUST0003,2022-02-14,1308.91,,Chicago,
CUST0465,2023-08-06,249.93,Electronics,,
CUST0409,2022-03-14,1089.78,Beauty,New York,CRD
CUST0123,2023-02-13,169.27,Books,los angeles,CRD
CUST0146,2023-11-01,299.81,Toys,HOUSTON,CRD
CUST0472,2023-12-03,1203.06,Home,,Credit Card
CUST0263,2023-04-02,1769.68,,Chicago,cash
CUST0047,2024-04-10,730.15,Grocery,HOUSTON,
CUST0021,2023-04-20,1349.64,Grocery,HOUSTON,cash
CUST0269,2023-04-25,869.08,,Chicago,Debit
CUST0351,2024-05-11,489.79,Beauty,Chicago,cash
CUST0040,2023-06-10,206.34,Beauty,HOUSTON,Credit Card
CUST0369,2022-09-17,,Clothing,,cash
CUST0380,2022-07-03,1570.22,Beauty,New York,Credit Card
CUST0361,2023-08-25,1445.43,,Phoenix,paypal
CUST0471,2022-07-11,414.25,Clothing,,cash
CUST0345,2023-07-02,26.01,Beauty,New York,Credit Card
CUST0245,2023-02-19,1736.25,,Chicago,cash
CUST0316,2023-11-21,1925.91,Beauty,,paypal
cust0070,2022-01-17,1389.03,Books,,Credit Card
CUST0333,2022-09-05,865.93,,los angeles,Credit Card
CUST0238,2023-03-09,33.85,Grocery,los angeles,
CUST0494,2022-01-21,1718.19,Books,los angeles,paypal
CUST0427,2022-12-08,5.83,Beauty,HOUSTON,CRD
CUST0306,2022-10-25,64.4,Beauty,HOUSTON,cash
CUST0314,2024-04-16,1733.94,Books,,Credit Card
CUST0217,2023-07-21,117.66,Beauty,HOUSTON,Credit Card
CUST0481,2023-04-05,1392.0,Electronics,los angeles,paypal
CUST0241,2022-08-26,1010.35,Home,Phoenix,
CUST0068,2024-01-11,1419.88,Beauty,,
CUST0185,2024-03-29,1941.59,Grocery,Phoenix,Debit
CUST0384,2023-05-10,249.48,Books,los angeles,cash
CUST0407,2023-05-21,600.34,Books,Phoenix,Credit Card
CUST0184,2023-01-01,1350.62,Grocery,,cash
CUST0033,2022-04-27,1231.3,Clothing,Phoenix,Debit
CUST0175,2024-02-27,83.82,,Chicago,Debit
CUST0448,2023-11-17,199.33,Electronics,HOUSTON,CRD
CUST0387,2022-04-19,1561.12,Clothing,,cash
CUST0054,2022-05-01,1740.45,Home,los angeles,
CUST0227,2023-05-26,1462.43,Clothing,los angeles,
CUST0420,2024-05-18,395.8,Beauty,,Credit Card
CUST0415,2022-10-21,1005.1,Clothing,Chicago,paypal
CUST0213,2023-11-12,483.36,,HOUSTON,Debit
CUST0220,2023-02-24,1795.11,,,
CUST0016,2024-02-28,10.0,,New York,Credit Card
CUST0206,2022-06-18,862.49,Beauty,,Credit Card
CUST0329,2023-08-12,106.2,,Chicago,CRD
CUST0349,2022-11-08,1440.32,Home,Chicago,Credit Card
CUST0461,2022-05-31,1397.59,,,Debit
CUST0320,2023-10-30,878.71,Home,,
CUST0102,2022-03-28,64.31,Home,HOUSTON,
CUST0451,2023-07-08,560.69,Clothing,Phoenix,cash
CUST0175,2022-06-13,37.08,,Phoenix,paypal
CUST0397,2023-03-09,1973.78,Clothing,,Credit Card
CUST0133,2022-12-29,238.86,Clothing,HOUSTON,paypal
CUST0003,2022-08-30,1608.83,,,cash
CUST0154,2024-03-14,1628.31,Grocery,,CRD
CUST0127,2023-06-13,1160.56,Home,HOUSTON,Credit Card
CUST0218,2022-03-25,175.42,Beauty,los angeles,CRD
CUST0040,2023-06-23,799.53,,Phoenix,CRD
CUST0300,2023-03-10,1992.99,,,CRD
CUST0074,2023-05-12,1419.41,Grocery,,cash
CUST0061,2023-04-12,941.44,Grocery,Phoenix,paypal
CUST0061,2023-02-23,211.78,Home,Phoenix,paypal
CUST0079,2022-11-09,1981.95,Toys,Chicago,CRD
CUST0074,2023-08-27,837.73,Toys,Chicago,Debit
CUST0379,2022-05-06,1090.55,Clothing,,Credit Card
CUST0294,2023-04-09,1799.58,Beauty,HOUSTON,
CUST0068,2023-06-01,1269.29,,,CRD
CUST0373,2024-03-30,1245.79,Beauty,HOUSTON,Debit
CUST0174,2023-11-18,1778.99,Toys,,Credit Card
CUST0363 ,2024-03-01,1411.87,,,Credit Card
